smoke_dum,neuroticism,conscientiousness,extraversion,smoke_parent,parent_control,maternal_care,taught,male,black,hisp,asian,race_other,prof,home,job_other
0,-0.3924329,0.2260886,1.260275,1,1,4.5,1,1,1,0,0,0,0,0,0
0,0.4146344,-0.4042238,0.6686472,0,0.7142857,4.5,1,1,1,0,0,0,0,0,1
0,0.2019738,0.9681265,0.3490682,1,0.7142857,5,1,0,1,0,0,0,1,0,0
0,0.8802744,1.565015,0.9875695,1,0.8571429,5,1,0,1,0,0,0,1,0,0
1,-0.2081124,-1.112838,0.3484115,0,0.8571429,5,1,1,1,0,0,0,0,0,1
0,0.6936081,0.2260886,0.9875695,0,0.5714286,4.5,1,0,1,0,0,0,1,0,0
0,0.922031,0.3290816,0.9406958,1,1,3,1,0,1,0,0,0,0,0,1
0,0.3728777,0.2260886,0.9875695,0,0.8571429,5,1,0,1,0,0,0,1,0,0
0,0.8259399,0.6195462,0.3021945,1,0.7142857,5,1,0,1,0,0,0,1,0,0
0,-0.3979631,0.2260886,0.9406958,0,1,5,1,1,1,0,0,0,0,1,0
0,-0.3664385,0.2260886,0.3015378,1,0.5714286,3,1,0,1,0,0,0,0,0,1
0,0.8542801,0.9681265,0.9406958,0,0.7142857,5,1,1,1,0,0,0,0,1,0
0,-1.429982,-0.0978001,0.6217735,1,0.8571429,4,1,0,1,0,0,0,1,0,0
0,-0.3664385,0.2260886,0.9406958,0,0.8571429,5,1,0,1,0,0,0,1,0,0
1,0.7999455,-0.3707998,0.6217735,0,1,4.75,1,1,1,0,0,0,1,0,0
1,0.8542801,0.6529703,0.3490682,1,1,5,1,1,1,0,0,0,0,0,1
0,0.8542801,0.2260886,0.9406958,1,0.4285714,5,1,1,1,0,0,0,0,0,1
0,0.7912309,0.2260886,0.9406958,0,1,5,1,0,1,0,0,0,1,0,0
1,0.8542801,-0.2256503,0.3490682,1,1,5,1,0,1,0,0,0,0,0,0
0,0.8960367,0.2260886,0.6224302,0,0.8571429,4.5,1,1,1,0,0,0,1,0,0
0,-0.3664385,0.2260886,0.3490682,0,0.7142857,4.75,1,0,1,0,0,0,1,0,0
1,0.8542801,1.565015,1.260275,0,1,5,1,1,1,0,0,0,1,0,0
1,-0.3144498,-0.9764206,0.9875695,0,0.8571429,4.25,1,0,1,0,0,0,0,0,1
0,-0.1245991,-1.052001,0.3484115,0,0.8571429,4.75,1,0,1,0,0,0,1,0,0
0,0.8542801,0.2260886,1.260275,0,0.5714286,4.5,1,0,1,0,0,0,1,0,0
0,-0.3664385,0.2260886,0.9406958,0,0.5714286,3,1,0,1,0,0,0,1,0,0
0,0.8960367,-1.506295,0.3490682,0,0.5714286,5,1,1,1,0,0,0,1,0,0
1,0.3728777,-0.4042238,0.3490682,1,0.8571429,4.75,1,1,1,0,0,0,1,0,0
1,-0.3404441,-0.0890676,0.7148643,1,0.8571429,4.75,1,0,1,0,0,0,0,0,0
0,-0.3246819,-0.0890676,1.260275,0,0.7142857,4.75,1,1,1,0,0,0,1,0,0
1,0.0685298,1.241126,0.6211168,1,0.8571429,5,1,1,1,0,0,0,1,0,0
1,0.8542801,-0.3707998,0.9406958,0,0.7142857,5,0,1,1,0,0,0,1,0,0
0,0.8542801,1.241126,0.6679905,1,0.8571429,5,0,0,1,0,0,0,1,0,0
1,-0.3664385,0.2260886,1.260275,1,1,5,1,1,1,0,0,0,1,0,0
0,0.1149638,-0.71938,0.9406958,0,1,4.25,1,0,1,0,0,0,1,0,0
0,0.7196025,0.3203491,0.3490682,1,0.7142857,3.75,0,0,1,0,0,0,1,0,0
0,0.8960367,1.565015,1.260275,1,0.8571429,5,1,0,1,0,0,0,0,0,1
0,-0.6895146,-0.013487,-1.792267,0,1,4.75,1,1,0,0,0,0,1,0,0
0,-0.5405269,-0.064376,-0.2907465,1,0.5714286,5,1,1,0,1,0,0,0,0,1
0,0.2090214,-0.0890676,0.076363,1,1,4.5,1,1,0,0,0,0,1,0,0
1,0.8259399,0.2260886,0.3021945,0,1,4.75,1,0,0,0,0,0,1,0,0
0,-0.3664385,1.283283,-0.6090121,1,0.8571429,3.75,1,1,0,0,0,1,0,0,1
1,-2.059478,-0.3795322,-0.5152646,0,0.8571429,4,1,0,0,0,0,0,0,1,0
0,0.8385177,0.92597,-1.474002,1,0.5714286,4.5,1,1,0,0,0,0,0,1,0
0,0.3276244,-0.0978001,0.3028512,1,0.7142857,5,1,1,0,0,0,0,1,0,0
1,-0.3246819,-0.6859559,-0.2887764,1,1,4,1,0,1,0,0,0,0,0,1
0,-0.8636031,0.2260886,-0.243216,1,0.7142857,4.75,1,0,0,0,0,0,0,1,0
1,-0.5247647,-0.4042238,-0.5621383,1,1,3.5,1,1,0,0,0,1,0,0,1
0,-0.3822008,-0.3707998,-0.5621383,0,0.5714286,3.75,1,1,0,0,0,0,0,1,0
0,-0.3664385,-0.4042238,-0.9279343,0,0.7142857,5,1,0,0,0,0,0,1,0,0
0,0.7999455,0.6442378,0.3021945,0,0.1428571,4.5,1,1,0,0,0,1,0,0,1
1,-0.8501866,-0.3707998,-0.2425593,1,0.7142857,4,1,1,0,0,0,0,0,0,0
1,-0.3246819,-0.4216887,-0.5621383,0,0.8571429,5,1,0,0,0,0,0,0,0,1
0,-0.8376088,0.2260886,-0.5159213,1,0.7142857,4,1,0,0,0,0,0,0,0,1
0,0.3988721,0.8651335,0.0757063,0,0.2857143,5,1,1,0,0,0,0,0,0,1
